comment,sentiment
"Bu bilgi mi şimdi? Geçen yüzyıldan kalma bu dediklerin.","olumsuz"
"Notlarımı aldım, teşekkürler","olumlu"
"Teknik detay sıfır, laf salatası yapmışsın sadece.","olumsuz"
"Merak ettim bak şimdi, izleyelim","notr"
"Bu kanalı kesinlikle öneriyorum arkadaşlar","olumlu"
"Video donmaktan izlenmiyor! Ya internetini düzelt ya video yükleme!","olumsuz"
"Yorumları okumak > videoyu izlemek :D","notr"
"Ne kadar emek verildiği ortada, helal olsun","olumlu"
"Başlıkla içerik tamamen alakasız, clickbait yapmışsın resmen!","olumsuz"
"Bakıp çıkıcam hemen","notr"
"Bilmediğim şeyler öğrendim valla, sağ olasın","olumlu"
"Aynı şeyi bin kere tekrar ettin, yeter be! Kafa şişirdin!","olumsuz"
"Öylesine açtım, bakınıyorum","notr"
"Enteresan bir fikirmiş, beğendim","olumlu"
"Bu görüntü kalitesi ne böyle? Hesap makinesiyle mi çektin videoyu?","olumsuz"
"Bu konu hakkında hiç fikrim yoktu valla","notr"
"İçerik doyurucu olmuş","olumlu"
"Sunum tarzın inanılmaz itici, katlanamadım.","olumsuz"
"Konu o kadar dağıldı ki, ne dinlediğimi unuttum sonunda.","olumsuz"
"Tam da bu bilgiye ihtiyacım vardı, ilaç gibi geldi","olumlu"
"Reklam arası mı verdin video arası mı belli değil, bıktım reklamlardan!","olumsuz"
"Kapak resmi ilginç duruyor","notr"
"Hem güldürdü hem düşündürdü ;)","olumlu"
"Acemice hazırlanmış, çok belli oluyor, biraz profesyonellik lütfen!","olumsuz"
"Bi sorum olacaktı aslında...","notr"
"Yardımcı oldu gerçekten, teşekkürler","olumlu"
"Teoride konuşmak kolay tabi, pratikte fos çıkar bu anlattıkların.","olumsuz"
"Müzik o kadar yüksek ki sesini duyamıyoruz! Kıs şunu!","olumsuz"
"Bu serinin devamı şart!","olumlu"
"Kaynak belirtmemişsin, anlattıkların ne kadar doğru belli değil. Güvenmiyorum.","olumsuz"
"Akıp gitti video valla, sıkılmadım","olumlu"
"Başlıkta yazdıkların videoda yok! Kandırıldım resmen!","olumsuz"
"Bi kısmını izledim sadece","notr"
"Enerjiniz süper hocam, maşallah","olumlu"
"Basit konuyu evirip çevirip ne kadar karmaşık anlatmayı başardın hayret!","olumsuz"
"Tam ihtiyacım olan zamanda geldi bu video","olumlu"
"O ekran yazıları okunmuyor! Kör mü olalım anlamak için!","olumsuz"
"Konsept fena değil gibi","notr"
"İyi iş çıkarmışsınız, tebrikler","olumlu"
"Bu bilgiler güncel mi cidden? Bana pek öyle gelmedi.","notr"
"Fikir veriyor en azından","notr"
"Öğretici olduğu kesin","olumlu"
"Bu kadar sıkıcı bir anlatım olamaz, resmen işkenceydi.","olumsuz"
"Aynı düşüncedeyim +1","olumlu"
"O kadar teknik konuşuyorsun ki kimse bir şey anlamıyor, kime anlatıyorsun?","olumsuz"
"Şöyle bir göz atıyorum sadece","notr"
"İzlemeye değer bence","olumlu"
"Anlattıkların baştan sona hatalı, biraz araştırsaydın keşke!","olumsuz"
"Konuyla ilgiliyim, bakalım ne anlatılmış","notr"
"Sorularımın cevabını aldım, teşekkürler","olumlu"
"Gereksiz detaylarla videoyu şişirmişsin resmen.","olumsuz"
"Henüz bir yorum yapmak için erken","notr"
"Çok samimi ve doğal bir anlatımınız var","olumlu"
"Video kalitesi rezalet, izlemeye değmez.","olumsuz"
"Objektif değerlendirme yapmaya çalıştım","notr"
"Kaydettim, müsait olunca bakacağım","notr"
"Ses tonun o kadar monoton ki uyumamak için zor tuttum kendimi.","olumsuz"
"Genel kültür açısından izlenebilir belki","notr"
"İlham verdiniz resmen, teşekkürler!","olumlu"
"Açıklamalar yetersiz değil, bildiğin HİÇ YOK!","olumsuz"
"Piyasada bu konuyu senden bin kat iyi anlatanlar var, git onları izle.","olumsuz"
"Ellerinize sağlık, güzel çalışma","olumlu"
"Yorumunuz mantıklı geldi","notr"
"Tek kelimeyle bayıldım!","olumlu"
"Espri yapmaya çalışmışsın ama olmamış, hiç komik değil.","olumsuz"
"Sadece dinlemekle yetindim","notr"
"Ne kadar değerli bilgiler... Çok sağ olun","olumlu"
"Çekime biraz daha özen gösterseydin keşke, amatör duruyor.","olumsuz"
"Konu dışına çıkıp durdun, ne anlattın belli değil.","olumsuz"
"Takipteyim hocam","olumlu"
"Bu iddiaların hiçbir dayanağı yok, tamamen sallamasyon.","olumsuz"
"Tarafsız anlatmaya çalışmış, fena değil","notr"
"Tespitleriniz çok doğru","olumlu"
"Söylediklerin baştan aşağı mantıksız, biraz düşünseydin keşke.","olumsuz"
"Öylesine bakıyorum işte","notr"
"Bu videoyu kesinlikle kaydedin, lazım olur","olumlu"
"Video ilerlemiyor resmen, kaplumbağa daha hızlı! Sıkıntıdan patladım!","olumsuz"
"Daha yeni açtım videoyu","notr"
"Kalite yine konuşmuş, tebrikler","olumlu"
"Bu video sarmadı beni, kapattım gitti.","olumsuz"
"Konu hakkında araştırma yaparken denk geldim","notr"
"Teşekkür ediyorum bu değerli bilgiler için","olumlu"
"Diksiyonun berbat, ne dediğin anlaşılmıyor! Kursa falan git!","olumsuz"
"Fikir edinmek için izliyorum sadece","notr"
"Profesyonel yaklaşımınız takdire şayan","olumlu"
"Verilen örnekler hiçbir işe yaramaz, konuyu açıklamaktan çok uzak.","olumsuz"
"Müziği güzelmiş, kimin acaba?","notr"
"Etkileyici bir sunumdu gerçekten","olumlu"
"Hayatımın boşa giden [X] dakikası... Neden bu kadar uzun bu video?!","olumsuz"
"Konuya hakim olduğunuz her halinizden belli","olumlu"
"Bu kadar taraflı yorum olmaz, resmen propaganda yapmışsın!","olumsuz"
"Bi izleyelim bakalım, neymiş ne değilmiş","notr"
"Bilgi birikiminiz müthiş, saygı duydum","olumlu"
"Video sürekli takılıyor, teknik rezalet! İzlenmiyor!","olumsuz"
"Sadece girişe baktım şimdilik","notr"
"Motive oldum sayenizde, teşekkürler","olumlu"
"İçerik karmakarışık, hangi bilgi nerede belli değil, düzenle şunu!","olumsuz"
"Bu alana yeni girdim, öğrenmeye çalışıyorum","notr"
"Kanalınız gerçekten çok başarılı, tebrikler","olumlu"
"Bu kadar ağdalı konuşmaya ne gerek var, kimse anlamıyor!","olumsuz"
"Nötr kalmaya çalışıyorum","notr"
"Videonun prodüksiyon kalitesi çok iyi","olumlu"
"Bu videodan HİÇBİR ŞEY anlamadım, bomboş içerik!","olumsuz"
"Sadece seslendirme için bile izlenir","olumlu"
"İyi hazırlanmış bir ders niteliğinde","olumlu"
"Aynı lafı ısıtıp ısıtıp önümüze koymuşsun, yeter artık!","olumsuz"
"Başlık ilgimi çekti, bakalım","notr"
"Emeğinize sağlık, tekrar teşekkürler","olumlu"
"Komple yanlış bilgi! İnsanları yanlış yönlendirme!","olumsuz"
"Tarafsız olduğumu düşünüyorum","notr"
"Sohbetiniz çok keyifliydi","olumlu"
"İçi bomboş bir video, izlediğime pişman oldum.","olumsuz"
"Merak ettiğim sorulara cevap oldu","olumlu"
"Sesle görüntü arasında dağlar kadar fark var, senkron sıfır!","olumsuz"
"Genel olarak idare eder seviyede","notr"
"Kanalı yeni buldum ama müptelası oldum bile","olumlu"
"Bu ne biçim konuşma tarzı? Biraz saygılı ol!","olumsuz"
"Vakit geçirmek için ideal","notr"
"Adam king ya! :D","olumlu"
"Bilgilerin hepsi yanlış veya eksik, düzeltilmesi lazım ACİLEN!","olumsuz"
"Konuya hakimim ama farklı bir bakış açısı var mı diye baktım","notr"
"Çok yararlı oldu, teşekkürler tekrar","olumlu"
"Anlatımın o kadar karmaşık ki, profesör olsan anlamaz!","olumsuz"
"İzliyorum hala...","notr"
"Sonunda ya! Aradığım video buydu işte","olumlu"
"Kör oldum kör! O ışık ne öyle? Ayarlamayı bilmiyor musun?","olumsuz"
"Değişik bir tarzı var kanalın","notr"
"Çok teşekkür ederim, tam ihtiyacım olan anda yetişti","olumlu"
"Başlık tamamen yalan dolan! İçerikle alakası yok!","olumsuz"
"Yorumlara bakıp karar vericem izleyip izlemeyeceğime","notr"
"Harika özetlemişsiniz konuyu, bravo","olumlu"
"Kanalın kalitesi yerlerde sürünüyor artık, eski hali daha iyiydi.","olumsuz"
"Fikirler ilginç evet... Düşündürücü","notr"
"Ağzınıza sağlık üstadım","olumlu"
"Bu kadar tarafgir bir anlatım görmedim, pes!","olumsuz"
"Kararsız kaldım açıkçası","notr"
"Benim için çok iyi bir kaynak oldu bu video","olumlu"
"Video donmaktan izlenmiyor! Yüklemeyin kardeşim böyle videoları!","olumsuz"
"Arka planda açık kalsın, ses yeter","notr"
"Mükemmel bir içerik hazırlamışsınız yine","olumlu"
"Kanıt nerede kanıt? Lafla peynir gemisi yürümez!","olumsuz"
"Bilgilenmek iyidir","notr"
"Diliniz çok net ve anlaşılır, teşekkürler","olumlu"
"Reklam izlemekten videoya sıra gelmedi ki! Ayıp!","olumsuz"
"İstatistikler dikkat çekici gerçekten","notr"
"Sayenizde yeni bir perspektif kazandım","olumlu"
"Konuyu o kadar yüzeysel geçmişsin ki, hiçbir derinliği yok.","olumsuz"
"Sadece rakamlara baktım hızlıca","notr"
"Çok güzel bir çalışma, tebrik ediyorum","olumlu"
"O görseller ne öyle? Paint'le mi çizdin? Kalite sıfır!","olumsuz"
"Video açıklaması bomboş, hiçbir detay yok!","olumsuz"
"İyi ki varsınız, ne diyeyim. Teşekkürler","olumlu"
"Bu bilgiler çöp olmuş, miladı dolmuş bunların!","olumsuz"
"Henüz bir fikrim oluşmadı izleyince yazarım","notr"
"Arşivlik bir video olmuş resmen","olumlu"
"Kurgu hataları acemice, izlerken rahatsız ediyor.","olumsuz"
"Sadece fragmanı izledim, tamamını sonra","notr"
"Ne kadar samimi bir anlatım, bravo","olumlu"
"Gereksiz yere dakikalarca uzatmışsın videoyu!","olumsuz"
"Yorum yazmak için izliyorum bakalım","notr"
"Çok açıklayıcıydı, teşekkürler","olumlu"
"Bilimsel hiçbir dayanağı yok bu saçmalıkların!","olumsuz"
"Nötr bir yorum bırakıyorum","notr"
"Harika iş çıkarmışsınız, tebrikler!","olumlu"
"O arka plan müziği nedir öyle? Beynimizi şişirdi! Kapat şunu!","olumsuz"
"Konu hakkında pek bilgim yoktu zaten","notr"
"Çok faydalı bir içerik, teşekkür ederim","olumlu"
"Rezalet! Başka bir şey demiyorum. Yetersiz ve kötü.","olumsuz"
"Giriş müziği güzelmiş sadece","notr"
"Kaliteli ve profesyonel bir iş","olumlu"
"Anlatım o kadar kopuk ki, hiçbir şey bağlayamadım kafamda.","olumsuz"
"Bu tür videolar hoşuma gidiyor","olumlu"
"Konuşurken sürekli 'ııı', 'eee' demekten başka bir şey yapmıyorsun!","olumsuz"
"Sonuç bölümüne atladım direkt","notr"
"Gerçekten tebrikler, çok başarılı","olumlu"
"İlkokul çocuğuna anlatır gibi anlatmışsın, bu kadar basit değil bu işler!","olumsuz"
"Yorum yapmak için henüz erken","notr"
"Aydınlatıcı bilgiler için teşekkürler","olumlu"
"Vaat ettiğin hiçbir şey videoda yok! Tamamen kandırmaca!","olumsuz"
"İlginç bir deney olmuş, sonuçlar şaşırtıcı","notr"
"Emeği geçenlere teşekkür etmek lazım","olumlu"
"Teknik terimden geçilmiyor, kimse bir şey anlamıyor ki!","olumsuz"
"Farklı görüşlere saygım var","notr"
"Analiziniz çok başarılı","olumlu"
"Görüntü çamur gibi! Ayar yapmayı bilmiyor musun?","olumsuz"
"Sadece görselleri inceledim","notr"
"Bu bilgiler altın değerinde, sağ olun","olumlu"
"Zerre kadar orijinal bir fikir yok, başkalarından çalmışsın resmen!","olumsuz"
"Konuya ilgim arttı sayenizde","olumlu"
"Sunum tekniğiniz harika","olumlu"
"Bu kadar yavaş tempoyla anca uyutursun adamı! Hızlan!","olumsuz"
"Öylesine açtım, özet geçiyorum","notr"
"Harikasınız, ne denir ki başka!","olumlu"
"Kanalın tek derdi para kazanmak olmuş, içerik kalitesi bitmiş!","olumsuz"
"Objektif kalmakta zorlandım izlerken","notr"
"Mükemmel bir kaynak taraması olmuş","olumlu"
"O arka plandaki inşaat sesi ne? Videoyu mahvetmiş!","olumsuz"
"Başlık clickbait gibi duruyor ama izleyelim bakalım","notr"
"Çok net anlatmışsınız, teşekkürler","olumlu"
"Bilgilerin yarısı yanlış, yarısı eksik! Rezalet!","olumsuz"
"Bu konunun devamını bekliyorum mutlaka","olumlu"
"İşkence gibiydi izlemek, sıkıntıdan öldüm resmen!","olumsuz"
"Yorumlara genel olarak katılıyorum ben de","notr"
"İyi ki bu videoya denk gelmişim, tam aradığım buydu","olumlu"
"Bu kadar amatörlük olmaz! Çekim, kurgu, ses hepsi berbat!","olumsuz"
"Beğen butonuna bastım geçtim","olumlu"
"Konuyla alakasız saçma sapan yorumlar yapmayın şuraya!","notr"
"İzlemeye devam ediyorum, bitince yazarım","notr"
"Gerçekten çok yararlı bilgiler içeriyor","olumlu"
"Anlatımın o kadar yüzeysel ki hiçbir şey öğrenemedim.","olumsuz"
"Tarafsız bir yorum yapmaya çalışacağım","notr"
"Öğretmen gibi anlatmışsınız, ağzınıza sağlık","olumlu"
"Video çözünürlüğü o kadar kötü ki yazılar okunmuyor!","olumsuz"
"Sadece fikir versin diye izledim","notr"
"Emeğinize sağlık, çok teşekkürler","olumlu"
"Zaman israfından başka bir şey değildi. Tavsiye etmem.","olumsuz"
"Yorumları okumak daha keyifliydi videodan","notr"
"Harika bir derleme yapmışsınız, bravo","olumlu"
"Konuşmacının sesi kulak tırmalıyor resmen, katlanılır gibi değil.","olumsuz"
"Fena değil işte, izlenir","notr"
"Çok iyi bir özet, teşekkürler","olumlu"
"Kullanılan materyaller çoktan eskimiş, güncel değil bunlar.","olumsuz"
"Başını sonunu izledim sadece","notr"
"Değerli bir katkı olmuş bu alana","olumlu"
"Yalan yanlış bilgilerle dolu bir video daha! Yazık!","olumsuz"
"Konu hakkında farklı düşüncelerim var ama saygı duyuyorum","notr"
"Tek kelimeyle muazzam!","olumlu"
"Sıkıcı ve gereksiz uzun. Başka bir şey değil.","olumsuz"
"Merak ettiğim için bir bakayım dedim","notr"
"Bu bilgiler için minnettarım size","olumlu"
"Anlatım tarzı felaket kötüydü, izlerken yoruldum.","olumsuz"
"Henüz netleşmedi kafamda","notr"
"Başarılı ve öğretici bir içerik","olumlu"
"Bu videonun burada ne işi var? Saçmalık! Kaldırılmalı!","olumsuz"
"Öylesine geldim, bakıp gidiyorum","notr"
"Sunumunuz harikaydı, tebrikler","olumlu"
"Gereksiz laf kalabalığı yapmışsın, sadede gelmemişsin hiç.","olumsuz"
"Konu hakkında bilgi sahibi olmak istedim","notr"
"Çok faydalı bir kanalınız var, takibe değer","olumlu"
"Ses kayması var videoda, düzeltin şunu!","olumsuz"
"Şimdilik yorum yapmayacağım","notr"
"Çok yerinde tespitler yapmışsınız","olumlu"
"Bu içerik orijinal değil, başka yerden alınmış bariz şekilde.","olumsuz"
"Konuya pek hakim sayılmam","notr"
"Elinize sağlık, güzel olmuş gerçekten","olumlu"
"Videodaki kesintiler o kadar fazla ki, takip etmek imkansız!","olumsuz"
"Ben sadece izleyiciyim, yorum yapmam pek","notr"
"Konuşmanız çok akıcı ve güzel","olumlu"
"İki dakikalık konuyu yarım saat anlatmışsın, pes!","olumsuz"
"Veriler güncel mi acaba? Tarih belirtilmemiş","notr"
"Aydınlandım resmen, teşekkürler","olumlu"
"Kafam allak bullak oldu, hiçbir şey anlamadım! Berbat anlatım!","olumsuz"
"Sadece skora bakmaya geldim","notr"
"Mükemmel özetlemişsiniz, teşekkürler","olumlu"
"Bu kadar kaba bir dil kullanılmaz! Ayıp!","olumsuz"
"İlginç bilgiler var evet","notr"
"İyi bir başlangıç noktası olabilir bu konu için","olumlu"
"Video kalitesi rezalet! İzlemeye değmez, gözlerim bozuldu!","olumsuz"
"Sadece karşılaştırma yapmak amacıyla izledim","notr"
"Çok iyi bir referans noktası olmuş","olumlu"
"Taraflı olduğun o kadar belli ki! Objektif ol biraz!","olumsuz"
"Konu hakkında genel bir çerçeve çiziyor","notr"
"Değerli bir çalışma, tebrik ederim","olumlu"
"Bu videodan zerre kadar fayda görmedim, boşuna izledim.","olumsuz"
"Sadece rakamların olduğu kısımlara baktım","notr"
"Harika bir proje olmuş, destekliyorum sonuna kadar","olumlu"
"Sürekli 'bence', 'bana göre'... Senin fikrini sormadık, bilgi ver!","olumsuz"
"Yorumlar için ayrıca teşekkürler","notr"
"İyi bir ekip çalışması olduğu her halinden belli","olumlu"
"Piyasada senden çok daha iyi anlatanlar var, git onlardan öğren!","olumsuz"
"Şöyle bir göz atıp kapatacağım","notr"
