comment,sentiment
"Sadece dinlemekle yetindim.","notr"
"Ne kadar değerli bilgiler... Çok sağ olun.","olumlu"
"Biraz daha özen gösterilebilirdi çekime.","olumsuz"
"Konu dışına çıkıldı gibi hissediyorum.","olumsuz"
"Takipteyim hocam.","olumlu"
"Bu iddia pek gerçekçi durmuyor ama neyse.","olumsuz"
"Tarafsız anlatmaya çalışmış, fena değil.","notr"
"Tespitleriniz çok doğru.","olumlu"
"Mantık hatası var sanki söylediklerinizde?","olumsuz"
"Öylesine bakıyorum işte.","notr"
"Bu videoyu kesinlikle kaydedin, lazım olur.","olumlu"
"Konu neden bu kadar yavaş ilerliyor? Sıkıldım.","olumsuz"
"Daha yeni açtım videoyu.","notr"
"Kalite yine konuşmuş, tebrikler.","olumlu"
"Bu video beni pek sarmadı ya.","olumsuz"
"Konu hakkında araştırma yaparken denk geldim.","notr"
"Teşekkür ediyorum bu değerli bilgiler için.","olumlu"
"Sunucunun diksiyonu üzerinde biraz çalışması lazım sanki.","olumsuz"
"Fikir edinmek için izliyorum sadece.","notr"
"Profesyonel yaklaşımınız takdire şayan.","olumlu"
"Verilen örnekler konuyu açıklamaya yetmemiş.","olumsuz"
"Müziği güzelmiş, kimin acaba?","notr"
"Etkileyici bir sunumdu gerçekten.","olumlu"
"Neden bu kadar uzun tuttunuz ki videoyu?","olumsuz"
"Konuya hakim olduğunuz her halinizden belli.","olumlu"
"Fazla subjektif yorumlar var gibi geldi.","olumsuz"
"Bi izleyelim bakalım, neymiş ne değilmiş.","notr"
"Bilgi birikiminiz müthiş, saygı duydum.","olumlu"
"Teknik sorunlar var, video sürekli atlıyor.","olumsuz"
"Sadece girişe baktım şimdilik.","notr"
"Motive oldum sayenizde, teşekkürler.","olumlu"
"İçerik çok karışık, ne nerede belli değil.","olumsuz"
"Bu alana yeni girdim, öğrenmeye çalışıyorum.","notr"
"Kanalınız gerçekten çok başarılı, tebrikler.","olumlu"
"Biraz daha sade bir dil kullanılabilirdi belki.","olumsuz"
"Nötr kalmaya çalışıyorum.","notr"
"Videonun prodüksiyon kalitesi çok iyi.","olumlu"
"Bundan bir şey anlamadım, boşuna izledim.","olumsuz"
"Sadece seslendirme için bile izlenir.","olumlu"
"İyi hazırlanmış bir ders niteliğinde.","olumlu"
"Aynı şeyi 10 kere söylemenin manası neydi?","olumsuz"
"Başlık ilgimi çekti, bakalım.","notr"
"Emeğinize sağlık, tekrar teşekkürler.","olumlu"
"Yanlış bilgi veriyorsunuz, insanları kandırmayın!","olumsuz"
"Tarafsız olduğumu düşünüyorum.","notr"
"Sohbetiniz çok keyifliydi.","olumlu"
"İçi boş bir video olmuş maalesef.","olumsuz"
"Merak ettiğim sorulara cevap oldu.","olumlu"
"Sesle görüntü senkronize değil, kayma var.","olumsuz"
"Genel olarak idare eder seviyede.","notr"
"Kanalı yeni buldum ama müptelası oldum bile.","olumlu"
"Biraz daha edepli konuşulsa iyi olurdu.","olumsuz"
"Vakit geçirmek için ideal.","notr"
"Adam king ya! :D","olumlu"
"Bu bilgiler tamamen yanlış, düzeltin lütfen.","olumsuz"
"Konuya hakimim ama farklı bir bakış açısı var mı diye baktım.","notr"
"Çok yararlı oldu, teşekkürler tekrar.","olumlu"
"Anlatımınız fazla karmaşık geldi bana.","olumsuz"
"İzliyorum hala...","notr"
"Sonunda ya! Aradığım video buydu işte.","olumlu"
"Işık patlamış resmen, yüzünüz görünmüyor.","olumsuz"
"Değişik bir tarzı var kanalın.","notr"
"Çok teşekkür ederim, tam ihtiyacım olan anda yetişti.","olumlu"
"Başlıkta yazdığıyla alakası yok içeriğin.","olumsuz"
"Yorumlara bakıp karar vericem izleyip izlemeyeceğime.","notr"
"Harika özetlemişsiniz konuyu, bravo.","olumlu"
"Bu kanal eskiden daha iyiydi sanki?","olumsuz"
"Fikirler ilginç evet... Düşündürücü.","notr"
"Ağzınıza sağlık üstadım.","olumlu"
"Fazla taraflı bir anlatım olmuş bu.","olumsuz"
"Kararsız kaldım açıkçası.","notr"
"Benim için çok iyi bir kaynak oldu bu video.","olumlu"
"Video sürekli donuyor, internetim iyi halbuki.","olumsuz"
"Arka planda açık kalsın, ses yeter.","notr"
"Mükemmel bir içerik hazırlamışsınız yine.","olumlu"
"Anlatılanları destekleyecek bir kanıt göremedim ben.","olumsuz"
"Bilgilenmek iyidir.","notr"
"Diliniz çok net ve anlaşılır, teşekkürler.","olumlu"
"Reklamdan videoyu izleyemedik ki!","olumsuz"
"İstatistikler dikkat çekici gerçekten.","notr"
"Sayenizde yeni bir perspektif kazandım.","olumlu"
"Konu çok sığ geçilmiş, daha derinleşilebilirdi.","olumsuz"
"Sadece rakamlara baktım hızlıca.","notr"
"Çok güzel bir çalışma, tebrik ediyorum.","olumlu"
"Kullanılan görsellerin çözünürlüğü çok düşük.","olumsuz"
"Video açıklaması daha detaylı olabilirdi.","notr"
"İyi ki varsınız, ne diyeyim. Teşekkürler.","olumlu"
"Bu bilgiler artık çöp, güncel değil.","olumsuz"
"Henüz bir fikrim oluşmadı izleyince yazarım.","notr"
"Arşivlik bir video olmuş resmen.","olumlu"
"Kurgu hataları göze batıyor biraz.","olumsuz"
"Sadece fragmanı izledim, tamamını sonra.","notr"
"Ne kadar samimi bir anlatım, bravo.","olumlu"
"Gereksiz uzatılmış gibi geldi bana.","olumsuz"
"Yorum yazmak için izliyorum bakalım.","notr"
"Çok açıklayıcıydı, teşekkürler.","olumlu"
"Bilimsel dayanaktan yoksun bir video olmuş.","olumsuz"
"Nötr bir yorum bırakıyorum.","notr"
"Harika iş çıkarmışsınız, tebrikler!","olumlu"
"Arka plan müziği sürekli tekrar ediyor, baydı.","olumsuz"
"Konu hakkında pek bilgim yoktu zaten.","notr"
"Çok faydalı bir içerik, teşekkür ederim.","olumlu"
"Yetersiz kalmış, daha iyilerini gördüm.","olumsuz"
"Giriş müziği güzelmiş sadece.","notr"
"Kaliteli ve profesyonel bir iş.","olumlu"
"Anlatım biraz kopuk geldi bana, bağlantı kuramadım.","olumsuz"
"Bu tür videolar hoşuma gidiyor.","olumlu"
"Konuşurken çok fazla 'eee', 'ııı' sesi var.","olumsuz"
"Sonuç bölümüne atladım direkt.","notr"
"Gerçekten tebrikler, çok başarılı.","olumlu"
"Biraz daha basit anlatılabilirdi sanki.","olumsuz"
"Yorum yapmak için henüz erken.","notr"
"Aydınlatıcı bilgiler için teşekkürler.","olumlu"
"Vaat edilen içerikle alakası yok videonun.","olumsuz"
"İlginç bir deney olmuş, sonuçlar şaşırtıcı.","notr"
"Emeği geçenlere teşekkür etmek lazım.","olumlu"
"Teknik terimler havada uçuşuyor, anlamadım çoğunu.","olumsuz"
"Farklı görüşlere saygım var.","notr"
"Analiziniz çok başarılı.","olumlu"
"Video neden bu kadar bulanık? Ayarları mı yanlış?","olumsuz"
"Görselleri inceledim sadece.","notr"
"Bu bilgiler altın değerinde, sağ olun.","olumlu"
"Hiçbir orijinal fikir yok videoda.","olumsuz"
"Konuya ilgim arttı sayenizde.","notr"
"Sunum tekniğiniz harika.","olumlu"
"Tempo çok yavaş, hızlandırmak lazım.","olumsuz"
"Öylesine açtım, özet geçiyorum.","notr"
"Harikasınız, ne denir ki başka!","olumlu"
"Bu kanal biraz para odaklı gibi geldi bana.","olumsuz"
"Objektif kalmakta zorlandım izlerken.","notr"
"Mükemmel bir kaynak taraması olmuş.","olumlu"
"Arka plandaki sesler çok rahatsız edici.","olumsuz"
"Başlık clickbait gibi duruyor ama izleyelim bakalım.","notr"
"Çok net anlatmışsınız, teşekkürler.","olumlu"
"Hatalarla dolu bilgiler var, dikkatli olmak lazım.","olumsuz"
"Bu konunun devamını bekliyorum mutlaka.","olumlu"
"Sıkıntıdan patladım izlerken yeminle.","olumsuz"
"Yorumlara genel olarak katılıyorum ben de.","notr"
"İyi ki bu videoya denk gelmişim, tam aradığım buydu.","olumlu"
"Bu kadar amatör bir çekim görmedim uzun zamandır.","olumsuz"
"Beğen butonuna bastım geçtim.","olumlu"
"Konuyla alakasız yorumlar neden yapılıyor anlamıyorum.","notr"
"İzlemeye devam ediyorum, bitince yazarım.","notr"
"Gerçekten çok yararlı bilgiler içeriyor.","olumlu"
"Anlatımınız çok yüzeysel, detaya inmemişsiniz.","olumsuz"
"Tarafsız bir yorum yapmaya çalışacağım.","notr"
"Öğretmen gibi anlatmışsınız, ağzınıza sağlık.","olumlu"
"Video çözünürlüğü 240p mi? Dalga mı geçiyorsunuz?","olumsuz"
"Sadece fikir versin diye izledim.","notr"
"Emeğinize sağlık, çok teşekkürler.","olumlu"
"Zaman israfıydı benim için.","olumsuz"
"Yorumları okumak daha keyifliydi videodan.","notr"
"Harika bir derleme yapmışsınız, bravo.","olumlu"
"Konuşmacının ses tonu çok itici geldi bana.","olumsuz"
"Fena değil işte, izlenir.","notr"
"Çok iyi bir özet, teşekkürler.","olumlu"
"Kullanılan materyaller güncel değil gibi.","olumsuz"
"Başını sonunu izledim sadece.","notr"
"Değerli bir katkı olmuş bu alana.","olumlu"
"Yanlış bilgilerle dolu bir video daha...","olumsuz"
"Konu hakkında farklı düşüncelerim var ama saygı duyuyorum.","notr"
"Tek kelimeyle muazzam!","olumlu"
"Sıkıcı ve gereksiz uzun.","olumsuz"
"Merak ettiğim için bir bakayım dedim.","notr"
"Bu bilgiler için minnettarım size.","olumlu"
"Anlatım tarzı gerçekten çok kötü.","olumsuz"
"Henüz netleşmedi kafamda.","notr"
"Başarılı ve öğretici bir içerik.","olumlu"
"Bu video niye hala yayında anlamadım? Kaldırılmalı.","olumsuz"
"Öylesine geldim, bakıp gidiyorum.","notr"
"Sunumunuz harikaydı, tebrikler.","olumlu"
"Gereksiz detaylarla vakit kaybedilmiş.","olumsuz"
"Konu hakkında bilgi sahibi olmak istedim.","notr"
"Çok faydalı bir kanalınız var, takibe değer.","olumlu"
"Ses kayması problemi var gibi videoda.","olumsuz"
"Şimdilik yorum yapmayacağım.","notr"
"Çok yerinde tespitler yapmışsınız.","olumlu"
"Bu içerik başka bir yerden alınmış gibi duruyor.","olumsuz"
"Konuya pek hakim sayılmam.","notr"
"Elinize sağlık, güzel olmuş gerçekten.","olumlu"
"Videoda sürekli kesintiler var, akıcılık bozulmuş.","olumsuz"
"Ben sadece izleyiciyim, yorum yapmam pek.","notr"
"Konuşmanız çok akıcı ve güzel.","olumlu"
"Basit bir konuyu ne kadar uzatmışsınız böyle.","olumsuz"
"Veriler güncel mi acaba? Tarih belirtilmemiş.","notr"
"Aydınlandım resmen, teşekkürler.","olumlu"
"Hiçbir şey anlamadığım gibi kafam daha çok karıştı.","olumsuz"
"Sadece skora bakmaya geldim.","notr"
"Mükemmel özetlemişsiniz, teşekkürler.","olumlu"
"Kullanılan dil biraz kaba geldi bana.","olumsuz"
"İlginç bilgiler var evet.","notr"
"İyi bir başlangıç noktası olabilir bu konu için.","olumlu"
"Video kalitesi izlemeye engel oluyor maalesef.","olumsuz"
"Sadece karşılaştırma yapmak amacıyla izledim.","notr"
"Çok iyi bir referans noktası olmuş.","olumlu"
"Fazlasıyla taraflı bir video olmuş bu.","olumsuz"
"Konu hakkında genel bir çerçeve çiziyor.","notr"
"Değerli bir çalışma, tebrik ederim.","olumlu"
"Bu videodan beklediğimi alamadım maalesef.","olumsuz"
"Sadece rakamların olduğu kısımlara baktım.","notr"
"Harika bir proje olmuş, destekliyorum sonuna kadar.","olumlu"
"Çok fazla 'bence', 'bana göre' gibi ifadeler var. Objektiflik?","olumsuz"
"Yorumlar için ayrıca teşekkürler.","notr"
"İyi bir ekip çalışması olduğu her halinden belli.","olumlu"
"Bu konuda çok daha iyi kanallar mevcut piyasada.","olumsuz"
"Şöyle bir göz atıp kapatacağım.","notr"
"Çok teşekkür ettim, gerçekten çok yardımcı oldu.","olumlu"
"Bu kadar yavaş konuşmaya sabrım yetmedi maalesef.","olumsuz"
"İzlemeden önce yorumlara bakayım dedim.","notr"
"Mükemmel bir anlatım, net ve berrak.","olumlu"
"Video sürekli donuyor, izlemek mümkün değil.","olumsuz"
"Sadece ilgimi çeken kısımları izledim.","notr"
"Çok başarılı bir eğitim videosu olmuş bu.","olumlu"
"Anlatılanlar arasında çelişkiler var gibi geldi.","olumsuz"
"Konuya ilgi duymaya başladım sayenizde.","notr"
"Gerçekten çok iyi düşünülmüş bir içerik.","olumlu"
"Ses seviyesi o kadar düşük ki duyamadım.","olumsuz"
"Sadece grafiklere ve tablolara göz attım.","notr"
"Harikasınız valla, çok teşekkür ediyorum.","olumlu"
"Bu video gerçekten olmamış, kusura bakmayın.","olumsuz"
"Konuyu tam anlamak için tekrar izlemem gerekebilir.","notr"
"Prodüksiyon kalitesi üst düzeyde.","olumlu"
"Gereksiz bir dramatizasyon var gibi geldi bana.","olumsuz"
"Kaydettim, sonra izlemek üzere.","notr"
"Çok pozitif bir enerji veriyorsunuz izlerken.","olumlu"
"Anlatımınız maalesef çok sıkıcıydı.","olumsuz"
"İstatistiksel veriler paylaşılmış mı acaba?","notr"
"Tam aradığım cevapları buldum, çok teşekkürler.","olumlu"
"Vaktimi boşa harcadım resmen bu videoyla.","olumsuz"
"Henüz tamamını izleyemedim, bitince yazarım.","notr"
"Mükemmel bir rehber niteliğinde olmuş.","olumlu"
"Fazla kişisel yorum katılmış, objektif değil.","olumsuz"
"Sonuçları merak ettim sadece.","notr"
"Çok iyi bir içerik üreticisi olduğunuzu düşünüyorum.","olumlu"
"Video kalitesi sanki 90'lardan kalma.","olumsuz"
"Konu ilginç duruyor, izlemeye değer mi acaba?","notr"
"Çok faydalı buldum açıkçası, teşekkürler.","olumlu"
"Anlatımınız çok dağınık, konuyu takip etmekte zorlandım.","olumsuz"
"Sadece başlığını okuyup geçiyorum.","notr"
